"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L125","__init__","ceilometer.agent.Resources.__init__~Fn","L123","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","43","5","46","33","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","3","2","4","4","3","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L130","extend","ceilometer.agent.Resources.extend~Fn","L123","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","48","5","50","55","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","2","2","3","3","2","0","0","2","1","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L133","resources","ceilometer.agent.Resources.resources~Fn","L123","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","52","5","56","49","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","__init__","ceilometer.agent.PollingTask.__init__~Fn","L135","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","65","5","76","34","0","0","0","0","0","0","0","0","1","0","0","0","0","0.416667","5","0","0.416667","5","7","12","5","2","7","12","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L143","add","ceilometer.agent.PollingTask.add~Fn","L135","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","78","5","82","41","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","5","5","4","3","5","5","4","0","0","2","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","poll_and_publish","ceilometer.agent.PollingTask.poll_and_publish~Fn","L135","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","84","5","104","38","0","0","0","0","0","0","0","0","4","3","3","0","0","0.047619","1","1","0.047619","1","20","21","11","1","20","21","11","0","0","2","1","2","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L155","__init__","ceilometer.agent.AgentManager.__init__~Fn","L153","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","109","5","118","60","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","10","10","8","4","10","10","8","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L162","_extensions","ceilometer.agent.AgentManager._extensions~Fn","L153","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","120","5","127","9","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","8","8","2","2","8","8","2","0","0","2","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","join_partitioning_groups","ceilometer.agent.AgentManager.join_partitioning_groups~Fn","L153","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","129","5","133","56","0","0","0","0","0","0","0","0","2","1","1","1","1","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L170","create_polling_task","ceilometer.agent.AgentManager.create_polling_task~Fn","L153","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","135","5","137","32","0","0","0","0","0","0","0","0","1","0","0","1","0","0.333333","1","1","0.333333","1","2","3","1","1","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L173","setup_polling_tasks","ceilometer.agent.AgentManager.setup_polling_tasks~Fn","L153","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","139","5","151","28","0","0","0","0","0","0","0","0","4","3","3","1","2","0","0","0","0","0","12","13","9","1","12","13","9","0","0","2","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L168","_construct_group_id","ceilometer.agent.AgentManager._construct_group_id~Fn","L153","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","153","5","156","48","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
