"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","CD","CLOC","DLOC","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NLA","NLM","NM","NOS","TLLOC","TLOC","TNA","TNLA","TNLM","TNM","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Inheritance Metric Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L123","Resources","ceilometer.agent.Resources~Cl","L119","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","42","1","56","49","0","0","0","0","0","0","0","0","3","0","0","4","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","13","15","0","0","3","3","7","13","15","0","0","3","3","7","0","0","9","1","3","3","0","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L135","PollingTask","ceilometer.agent.PollingTask~Cl","L119","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","59","1","104","38","0","0","0","0","0","0","0","0","3","3","3","7","1","1","1","0","3","0.227273","10","5","0.227273","10","0","0","0","0","0","34","46","0","0","3","3","20","34","46","0","0","3","3","20","0","0","7","1","3","1","0","0","1","0","0","0","6","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","AgentManager","ceilometer.agent.AgentManager~Cl","L119","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\agent.py","107","1","206","24","0","0","0","0","0","0","0","0","3","3","3","29","1","0","0","1","12","0.0232558","2","1","0.0232558","2","0","0","0","0","0","84","100","0","0","11","11","50","84","100","0","0","11","11","50","0","0","23","2","12","11","1","0","1","0","0","0","22","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L205","CollectorService","ceilometer.collector.CollectorService~Cl","L200","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\collector.py","57","1","143","77","0","0","0","0","0","0","0","0","5","3","3","15","0","0","0","0","5","0.191011","17","13","0.191011","17","0","0","0","0","0","72","87","0","0","5","5","42","72","87","0","0","5","5","42","0","0","10","14","2","1","7","0","1","0","0","1","8","2","0","0","0","0","0","0","0","1","0","0","0","0","0","5"
"L235","PartitionCoordinator","ceilometer.coordination.PartitionCoordinator~Cl","L230","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\coordination.py","45","1","144","21","0","0","0","0","0","0","0","0","4","3","3","26","0","0","0","0","7","0.193878","19","18","0.193878","19","0","0","0","0","0","79","100","0","0","7","7","54","79","100","0","0","7","7","54","0","0","15","0","6","6","0","0","1","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L269","RequestContextSerializer","ceilometer.messaging.RequestContextSerializer~Cl","L263","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\messaging.py","34","1","54","43","0","0","0","0","0","0","0","0","5","1","1","7","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","17","21","0","0","5","5","9","17","21","0","0","5","5","9","0","0","13","0","5","5","0","0","1","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L288","JsonPayloadSerializer","ceilometer.messaging.JsonPayloadSerializer~Cl","L263","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\messaging.py","57","1","60","69","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","4","0","0","1","1","1","4","4","0","0","1","1","1","0","0","4","3","3","2","1","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"L334","HTTPRequest","ceilometer.middleware.HTTPRequest~Cl","L330","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\middleware.py","45","1","69","28","0","0","0","0","0","0","0","0","2","0","0","2","0","1","0","0","2","0.178571","5","5","0.178571","5","0","0","1","1","0","23","25","1","1","2","2","2","23","25","1","1","2","2","2","0","0","5","1","1","1","1","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L345","HTTPResponse","ceilometer.middleware.HTTPResponse~Cl","L330","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\middleware.py","72","1","73","35","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","2","2","1","0","2","0","2","2","2","1","0","2","0","0","0","2","0","2","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L357","Client","ceilometer.neutron_client.Client~Cl","L348","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\neutron_client.py","42","1","117","44","0","0","0","0","0","0","0","0","12","1","1","13","0","0","0","0","12","0.031746","2","2","0.031746","2","0","0","0","0","0","61","76","0","0","12","12","27","61","76","0","0","12","12","27","0","0","27","1","10","11","0","0","1","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
